number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_unfreeze,params_weight_decay,user_attrs_epoch_1_val_acc,user_attrs_epoch_1_val_loss,user_attrs_epoch_2_val_acc,user_attrs_epoch_2_val_loss,user_attrs_epoch_3_val_acc,user_attrs_epoch_3_val_loss,user_attrs_epoch_4_val_acc,user_attrs_epoch_4_val_loss,user_attrs_epoch_5_val_acc,user_attrs_epoch_5_val_loss,state
0,0.7153614457831325,2025-08-01 23:15:26.956681,2025-08-01 23:17:46.093681,0 days 00:02:19.137000,0.23137793805138046,0.0001272485676810452,50,0.0003760816203680717,0.3539156626506024,3.838777769042785,0.4789156626506024,2.871315969042031,0.6054216867469879,2.277508932423879,0.6566265060240963,1.9708157720335995,0.7153614457831325,1.6860169086111598,COMPLETE
1,0.23795180722891565,2025-08-01 23:17:46.095047,2025-08-01 23:20:09.841331,0 days 00:02:23.746284,0.282819392099686,0.0015281482612417786,100,1.228430045212277e-05,0.12650602409638553,5.223035714712488,0.14156626506024098,4.802608771496509,0.1852409638554217,4.556662427373679,0.2063253012048193,4.288389527654073,0.23795180722891565,4.03856366226472,COMPLETE
2,0.7289156626506024,2025-08-01 23:20:09.842769,2025-08-01 23:22:33.062649,0 days 00:02:23.219880,0.4012275617646891,0.00013694761807766826,75,6.967809435487094e-05,0.3207831325301205,3.9205677638570946,0.4864457831325301,2.866082221628672,0.6009036144578314,2.2539784060903343,0.6626506024096386,1.8544158547757619,0.7289156626506024,1.6261302871876453,COMPLETE
3,0.2680722891566265,2025-08-01 23:22:33.064183,2025-08-01 23:23:01.350536,0 days 00:00:28.286353,0.3579056934328819,0.00021219582428880525,75,0.0006734253357162061,0.2680722891566265,4.376760248678276,,,,,,,,,PRUNED
4,0.11897590361445783,2025-08-01 23:23:01.351646,2025-08-01 23:23:32.231781,0 days 00:00:30.880135,0.3290862493979658,0.002739770694329481,150,1.8536611348600995e-05,0.11897590361445783,5.5522545619183274,,,,,,,,,PRUNED
5,0.21234939759036145,2025-08-01 23:23:32.232994,2025-08-01 23:24:01.080027,0 days 00:00:28.847033,0.25522024850393943,0.0008415096862100282,100,0.00016518593116121,0.21234939759036145,4.746166829603264,,,,,,,,,PRUNED
6,0.29066265060240964,2025-08-01 23:24:01.081245,2025-08-01 23:24:29.631421,0 days 00:00:28.550176,0.31035167276958997,0.000464760961015067,100,0.00045118581153762415,0.29066265060240964,4.257240734904645,,,,,,,,,PRUNED
7,0.13704819277108435,2025-08-01 23:24:29.634643,2025-08-01 23:24:59.765577,0 days 00:00:30.130934,0.23245329023851874,0.0016063774216566397,125,0.00018088102497969236,0.13704819277108435,5.16534349142787,,,,,,,,,PRUNED
8,0.2936746987951807,2025-08-01 23:24:59.767413,2025-08-01 23:25:29.343679,0 days 00:00:29.576266,0.46243858781570235,0.00018986472068822964,75,0.0001716038703486882,0.2936746987951807,4.421934044504741,,,,,,,,,PRUNED
9,0.1686746987951807,2025-08-01 23:25:29.344922,2025-08-01 23:25:58.172242,0 days 00:00:28.827320,0.49450872717627065,0.0010041993269501875,125,1.6213382112148972e-05,0.1686746987951807,5.020009514797165,,,,,,,,,PRUNED
10,0.3072289156626506,2025-08-01 23:25:58.173419,2025-08-01 23:26:25.971042,0 days 00:00:27.797623,0.4015119571070196,0.00036725954555035325,50,5.322823175742269e-05,0.3072289156626506,4.164535172014351,,,,,,,,,PRUNED
11,0.4713855421686747,2025-08-01 23:26:25.972428,2025-08-01 23:27:23.822976,0 days 00:00:57.850548,0.20250449756698058,0.00010127156170744061,50,6.303555543141726e-05,0.33433734939759036,4.019019915396909,0.4713855421686747,3.075744209519352,,,,,,,PRUNED
12,0.23493975903614459,2025-08-01 23:27:23.824230,2025-08-01 23:27:51.917825,0 days 00:00:28.093595,0.3871805049514628,0.00010629120852801746,50,0.0003253360133735498,0.23493975903614459,4.528027267341154,,,,,,,,,PRUNED
13,0.7304216867469879,2025-08-01 23:27:51.919162,2025-08-01 23:30:20.340995,0 days 00:02:28.421833,0.4163446109015949,0.000215494735185184,75,3.7923576315063925e-05,0.32831325301204817,3.989195721695222,0.4924698795180723,2.760420141449894,0.625,2.0173818346965744,0.713855421686747,1.5813616930720318,0.7304216867469879,1.3450510792703514,COMPLETE
14,0.766566265060241,2025-08-01 23:30:20.342517,2025-08-01 23:32:47.848333,0 days 00:02:27.505816,0.42403847611826895,0.000267234071576168,75,3.0891741965828444e-05,0.3810240963855422,3.5979364564619867,0.5692771084337349,2.3204014976340606,0.6867469879518072,1.7543176297681877,0.7484939759036144,1.3647261078817299,0.766566265060241,1.1502292601458997,COMPLETE
